StartTime,RunType,Target,ExecutionTime,User,Role,Warehouse,WarehouseSize,Cost,Status,JobName
2025-04-20T23:50:53.519000+00:00,Incremental,prod,99.633,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1129390269,Success,TextpicksSeenIncremental
2025-04-20T23:35:48.261000+00:00,Incremental,prod,145.531,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1651508289,Success,TextpicksSeenIncremental
2025-04-20T23:29:00.282000+00:00,Incremental,prod,130.084,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1476279988,Success,TextpicksSeenIncremental
2025-04-20T23:20:54.601000+00:00,Incremental,prod,101.399,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1149438617,Success,TextpicksSeenIncremental
2025-04-20T23:05:46.790000+00:00,Incremental,prod,104.482,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.118441048,Success,TextpicksSeenIncremental
2025-04-20T22:50:48.181000+00:00,Incremental,prod,97.217,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.116685579,Success,TextpicksSeenIncremental
2025-04-20T22:36:17.838000+00:00,Incremental,prod,146.756,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1764507258,Success,TextpicksSeenIncremental
2025-04-20T22:29:35.776000+00:00,Incremental,prod,129.888,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1560106012,Success,TextpicksSeenIncremental
2025-04-20T22:21:19.676000+00:00,Incremental,prod,101.357,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1214819509,Success,TextpicksSeenIncremental
2025-04-20T22:05:52.182000+00:00,Incremental,prod,101.445,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1215995731,Success,TextpicksSeenIncremental
2025-04-20T21:50:51.585000+00:00,Incremental,prod,97.11,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1128230928,Success,TextpicksSeenIncremental
2025-04-20T21:35:50.238000+00:00,Incremental,prod,151.461,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1763129426,Success,TextpicksSeenIncremental
2025-04-20T21:29:09.320000+00:00,Incremental,prod,149.053,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1727854923,Success,TextpicksSeenIncremental
2025-04-20T21:20:46.032000+00:00,Incremental,prod,101.025,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1175079212,Success,TextpicksSeenIncremental
2025-04-20T21:05:49.758000+00:00,Incremental,prod,103.747,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1204439172,Success,TextpicksSeenIncremental
2025-04-20T20:50:49.924000+00:00,Incremental,prod,102.49,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1139888907,Success,TextpicksSeenIncremental
2025-04-20T20:35:44.599000+00:00,Incremental,prod,144.694,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1611108119,Success,TextpicksSeenIncremental
2025-04-20T20:29:02.845000+00:00,Incremental,prod,126.322,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1404515578,Success,TextpicksSeenIncremental
2025-04-20T20:20:49.384000+00:00,Incremental,prod,102.098,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1133928645,Success,TextpicksSeenIncremental
2025-04-20T20:05:51.683000+00:00,Incremental,prod,100.383,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1115375649,Success,TextpicksSeenIncremental
2025-04-20T19:50:53.425000+00:00,Incremental,prod,98.411,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1136357912,Success,TextpicksSeenIncremental
2025-04-20T19:35:47.656000+00:00,Incremental,prod,125.628,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1455367826,Success,TextpicksSeenIncremental
2025-04-20T19:29:01.976000+00:00,Incremental,prod,128.101,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1484171588,Success,TextpicksSeenIncremental
2025-04-20T19:20:48.154000+00:00,Incremental,prod,103.253,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1194248288,Success,TextpicksSeenIncremental
2025-04-20T19:05:49.340000+00:00,Incremental,prod,102.487,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1184489894,Success,TextpicksSeenIncremental
2025-04-20T18:50:46.900000+00:00,Incremental,prod,98.078,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1066609759,Success,TextpicksSeenIncremental
2025-04-20T18:35:48.998000+00:00,Incremental,prod,146.411,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.159836445,Success,TextpicksSeenIncremental
2025-04-20T18:29:02.921000+00:00,Incremental,prod,122.451,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1334832263,Success,TextpicksSeenIncremental
2025-04-20T18:20:51.032000+00:00,Incremental,prod,104.382,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1138474947,Success,TextpicksSeenIncremental
2025-04-20T18:05:51.314000+00:00,Incremental,prod,98.013,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1068477936,Success,TextpicksSeenIncremental
2025-04-20T17:50:56.054000+00:00,Incremental,prod,99.926,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1295792028,Success,TextpicksSeenIncremental
2025-04-20T17:35:52.877000+00:00,Incremental,prod,149.969,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1948309607,Success,TextpicksSeenIncremental
2025-04-20T17:28:59.837000+00:00,Incremental,prod,124.989,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1623188433,Success,TextpicksSeenIncremental
2025-04-20T17:20:59.622000+00:00,Incremental,prod,101.445,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1315510705,Success,TextpicksSeenIncremental
2025-04-20T17:05:54.072000+00:00,Incremental,prod,101.001,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.130944342,Success,TextpicksSeenIncremental
2025-04-20T16:50:49.290000+00:00,Incremental,prod,102.021,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1098965425,Success,TextpicksSeenIncremental
2025-04-20T16:35:49.846000+00:00,Incremental,prod,151.961,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1640135712,Success,TextpicksSeenIncremental
2025-04-20T16:29:05.732000+00:00,Incremental,prod,126.207,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.135970897,Success,TextpicksSeenIncremental
2025-04-20T16:20:56.988000+00:00,Incremental,prod,102.397,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1102415866,Success,TextpicksSeenIncremental
2025-04-20T16:05:55.852000+00:00,Incremental,prod,100.936,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.108708493,Success,TextpicksSeenIncremental
2025-04-20T15:50:51.352000+00:00,Incremental,prod,99.129,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1136640653,Success,TextpicksSeenIncremental
2025-04-20T15:35:44.807000+00:00,Incremental,prod,153.743,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1765346886,Success,TextpicksSeenIncremental
2025-04-20T15:29:05.081000+00:00,Incremental,prod,128.846,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1475349133,Success,TextpicksSeenIncremental
2025-04-20T15:20:52.252000+00:00,Incremental,prod,100.719,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1154645233,Success,TextpicksSeenIncremental
2025-04-20T15:05:45.600000+00:00,Incremental,prod,104.026,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1192322275,Success,TextpicksSeenIncremental
2025-04-20T14:50:48.834000+00:00,Incremental,prod,101.59,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1153257296,Success,TextpicksSeenIncremental
2025-04-20T14:35:52.670000+00:00,Incremental,prod,147.7,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1682255054,Success,TextpicksSeenIncremental
2025-04-20T14:29:11.491000+00:00,Incremental,prod,124.349,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1414377029,Success,TextpicksSeenIncremental
2025-04-20T14:20:57.750000+00:00,Incremental,prod,97.903,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1112018802,Success,TextpicksSeenIncremental
2025-04-20T14:05:51.685000+00:00,Incremental,prod,98.655,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1121532067,Success,TextpicksSeenIncremental
2025-04-20T13:50:50.043000+00:00,Incremental,prod,96.938,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.11598208,Success,TextpicksSeenIncremental
2025-04-20T13:35:50.106000+00:00,Incremental,prod,148.91,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.178620909,Success,TextpicksSeenIncremental
2025-04-20T13:29:16.687000+00:00,Incremental,prod,124.815,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1495754827,Success,TextpicksSeenIncremental
2025-04-20T13:20:55.029000+00:00,Incremental,prod,98.053,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1171581312,Success,TextpicksSeenIncremental
2025-04-20T13:05:50.797000+00:00,Incremental,prod,100.243,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1198443883,Success,TextpicksSeenIncremental
2025-04-20T12:51:00.299000+00:00,Incremental,prod,99.228,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.102189198,Success,TextpicksSeenIncremental
2025-04-20T12:35:53.609000+00:00,Incremental,prod,150.359,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1549947908,Success,TextpicksSeenIncremental
2025-04-20T12:29:09.199000+00:00,Incremental,prod,129.815,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1333664637,Success,TextpicksSeenIncremental
2025-04-20T12:20:51.957000+00:00,Incremental,prod,102.784,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1058539873,Success,TextpicksSeenIncremental
2025-04-20T12:05:57.042000+00:00,Incremental,prod,100.82,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1037636158,Success,TextpicksSeenIncremental
2025-04-20T11:50:51.519000+00:00,Incremental,prod,95.964,PREFECT_USER,ANALYST_ROLE,COMPUTE_WH,Medium,0.1146847038,Success,TextpicksSeenIncremental
